datetime,open,high,low,close,volume
2022-04-04,174.57001,178.49001,174.44000,178.44000,76468400
2022-04-05,177.50000,178.30000,174.42000,175.06000,73401800
2022-04-06,172.36000,173.63000,170.13000,171.83000,89058800
2022-04-07,171.16000,173.36000,169.85001,172.14000,77594700
2022-04-08,171.78000,171.78000,169.20000,170.09000,76575500
2022-04-11,168.71001,169.03000,165.50000,165.75000,72246700
2022-04-12,168.02000,169.87000,166.64000,167.66000,79265200
2022-04-13,167.39000,171.03999,166.77000,170.39999,70618900
2022-04-14,170.62000,171.27000,165.03999,165.28999,75329400
2022-04-18,163.92000,166.60001,163.57001,165.07001,69023900
2022-04-19,165.02000,167.82001,163.91000,167.39999,67723800
2022-04-20,168.75999,168.88000,166.10001,167.23000,67929800
2022-04-21,168.91000,171.53000,165.91000,166.42000,87227800
2022-04-22,166.46001,167.87000,161.50000,161.78999,84882400
2022-04-25,161.12000,163.17000,158.46001,162.88000,96046400
2022-04-26,162.25000,162.34000,156.72000,156.80000,95623200
2022-04-27,155.91000,159.78999,155.38000,156.57001,88063200
2022-04-28,159.25000,164.52000,158.92999,163.64000,130216800
2022-04-29,161.84000,166.20000,157.25000,157.64999,131747600
2022-05-02,156.71001,158.23000,153.27000,157.96001,123055300
2022-05-03,158.14999,160.71001,156.32001,159.48000,88966500
2022-05-04,159.67000,166.48000,159.25999,166.02000,108256500
2022-05-05,163.85001,164.08000,154.95000,156.77000,130525300
2022-05-06,156.00999,159.44000,154.17999,157.28000,116124600
2022-05-09,154.92999,155.83000,151.49001,152.06000,131577900
2022-05-10,155.52000,156.74001,152.92999,154.50999,115366700
2022-05-11,153.50000,155.45000,145.81000,146.50000,142689800
2022-05-12,142.77000,146.20000,138.80000,142.56000,182602000
